유형,품목번,품명,호칭-색상,단위,할당,재고량,DC율,최초출고일,호칭-색상1,단위1,할당1,재고량1,DC율1,최초출고일1,호칭-색상2,단위2,할당2,재고량2,DC율2,최초출고일2,호칭-색상3,단위3,할당3,재고량3,DC율3,최초출고일3,호칭-색상4,단위4,할당4,재고량4,DC율4,최초출고일4
01-,AMP2842,샤빌남즈로즈21SS#2,095-DG,1.0,공용,108.0,0.004,2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,
,AMP2852,샤빌남즈로즈21SS#2,095-BK,1.0,공용,176.0,0.004,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,
,,,105-LG,1.0,공용,264.0,0.004,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,
,AMP2885,샤빌남즈로즈21FW#2,095-BK,1.0,공용,158.0,0.004,2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,
,APTM005,샤빌)로맨틱쉬크팬,090-SK,1.0,공용,2.0,,2019-08-07,,,,,,,,,,,,,,,,,,,,,,,,
,APTM007,샤빌)프리업팬티#00,090-LV,1.0,공용,29.0,,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,
,BMDR003,bu)심리스메쉬드로,095-BK1,1.0,지점,49.0,,2025-05-21,,,,,,,,,,,,,,,,,,,,,,,,
,,,105-KK1,1.0,지점,57.0,,2025-05-21,,,,,,,,,,,,,,,,,,,,,,,,
,BW3D004,bu)여우븐3부팬츠,090-CR1,1.0,지점,36.0,,2025-04-14,,,,,,,,,,,,,,,,,,,,,,,,
,,,100-MT1,1.0,지점,39.0,,2025-04-14,,,,,,,,,,,,,,,,,,,,,,,,
,BW3D012,bu)여러닝나염3부팬,090-AD1,1.0,지점,38.0,,2025-05-20,,,,,,,,,,,,,,,,,,,,,,,,
,,,100-BK1,1.0,지점,41.0,,2025-05-20,,,,,,,,,,,,,,,,,,,,,,,,
,BW5D002,bu)여소로나카고5부,090-AD1,1.0,지점,33.0,,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,
,,,100-BE1,1.0,지점,37.0,,2025-03-10,,,,,,,,,,,,,,,,,,,,,,,,
,BW5D003,bu)여벤츄리절개5부,090-BE1,1.0,지점,31.0,,2025-04-03,,,,,,,,,,,,,,,,,,,,,,,,
,,,100-BK1,1.0,지점,33.0,,2025-04-03,,,,,,,,,,,,,,,,,,,,,,,,
,BW9D013,bu)여러닝9부레깅스,090-BK1,1.0,지점,29.0,,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,
,BW9D014,bu)여러닝와이드레,090-BK1,1.0,지점,28.0,,2025-04-03,,,,,,,,,,,,,,,,,,,,,,,,
,BWPD006,bu)심리스메쉬미디,090-BE1,1.0,지점,41.0,,2025-04-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,100-KK1,1.0,지점,62.0,,2025-04-04,,,,,,,,,,,,,,,,,,,,,,,,
,CBDRH21,크리켓쿨루션남즈로,070-GL1,1.0,공용,153.0,0.0025,2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,
,CBDRI01,크리켓남즈로즈#I01,070-MA2,2.0,공용,63.0,,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,
,CBDRI21,크리켓쿨루션남즈로,070-GL1,1.0,공용,169.0,,2024-02-28,,,,,,,,,,,,,,,,,,,,,,,,
,CBDRI51,크리켓남즈로즈#I51,070-MA2,2.0,공용,28.0,,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,
,CBDRJ02,크리켓남즈로즈#J02,065-MA3,3.0,공용,355.0,,2025-04-30,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDH01,크리켓남삼각#H01,065-MA3,3.0,공용,62.0,,2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDH02,크리켓남삼각#H02,065-MA3,3.0,공용,68.0,,2023-02-16,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDH03,크리켓남삼각#H03,065-MA3,3.0,공용,195.0,,2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDH04,크리켓남삼각#H04,065-MA3,3.0,공용,166.0,,2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDH51,크리켓남삼각#H51,065-MA3,3.0,공용,33.0,,2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDI01,크리켓남삼각#I01,060-MA3,3.0,공용,1.0,,2024-04-05,,,,,,,,,,,,,,,,,,,,,,,,
,,,085-MA3,3.0,공용,103.0,,2024-04-03,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDI02,크리켓남삼각#I02,065-MA3,3.0,공용,93.0,,2024-04-02,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDI03,크리켓남삼각#I03,065-MA3,3.0,공용,122.0,,2024-04-04,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDI52,크리켓남삼각#I52,070-MA3,3.0,공용,87.0,,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,
,CBPDJ01,크리켓남삼각#J01,060-MA3,3.0,지점,22.0,,2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,
,,,085-MA3,3.0,지점,98.0,,2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,
,CGDRI11,크리켓여즈로즈#I11,065-MA2,2.0,공용,43.0,,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,
,CGDRI61,크리켓여즈로즈#I61,065-MA2,2.0,공용,23.0,,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,
,CGDRJ11,크리켓여즈로즈#J11,065-MA3,3.0,공용,196.0,,2025-04-30,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDH11,크리켓여삼각#H11,070-MA3,3.0,공용,19.0,,2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDH12,크리켓여삼각#H12,065-MA3,3.0,공용,21.0,,2023-02-16,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDH13,크리켓여삼각#H13,065-MA3,3.0,공용,180.0,,2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDH14,크리켓여삼각#H14,065-MA3,3.0,공용,85.0,,2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDH61,크리켓여삼각#H61,065-MA3,3.0,공용,22.0,,2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDH62,크리켓여삼각#H62,065-MA3,3.0,공용,32.0,,2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDI11,크리켓여삼각#I11,070-MA3,3.0,공용,22.0,,2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDI12,크리켓여삼각#I12,070-MA3,3.0,공용,23.0,,2024-04-19,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDI13,크리켓여삼각#I13,065-MA3,3.0,공용,100.0,,2024-04-01,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDI62,크리켓여삼각#I62,065-MA3,3.0,공용,3.0,,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,
,CGPDJ10,크리켓여삼각#J10,060-MA3,3.0,지점,26.0,,2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,
,,,085-MA3,3.0,지점,95.0,,2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,
,EMDRBG1,T베이직즈로즈#G1,095-CHA,1.0,공용,15.0,,2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,
,EMDRH11,E)인견즈로즈#H11,105-BD1,1.0,공용,12.0,,2023-04-14,,,,,,,,,,,,,,,,,,,,,,,,
,EWPDG02,데일리노라인햄팬티,090-PC1,1.0,공용,41.0,,2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,
,EWPXI01,E)맥시면스판보정팬,090-MA7,7.0,공용,57.0,,2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,
,HMDHN10,H)TRY쿨드로즈3호,110-MB1,1.0,공용,5.0,,2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,
,HMXHN06,H)TRY풍기인견바지2,100-GA1,1.0,공용,6.0,,2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,
,HMXHN10,H)TRY풍기인견남바,095-BK1,1.0,공용,17.0,,2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,
,HMXNS01,N)TRY풍기인견박서2,100-MA1,1.0,공용,7.0,,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,
,HTMX201,TRY코튼박서9+2종,100-A11,11.0,지점,9.0,,2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,
,HWMEC01,TRY)EC여미디10매,095-A10,10.0,공용,8.0,,2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,
,HWMEC02,트라이소프트텐셀햄,100-BK1,1.0,공용,9.0,,2020-12-11,,,,,,,,,,,,,,,,,,,,,,,,
,HWMEC03,트라이소프트탁텔햄,100-BK1,1.0,공용,11.0,,2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,
,HWPHN01,H)TRY임파선여팬티1,105-MA1,1.0,공용,10.0,,2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,
,HWPHN02,H)TRY풍기인견여삼,090-MA1,1.0,공용,73.0,,2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH01,모모)미디#H01,085-MA3,3.0,지점,15.0,0.0025,2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH02,모모)미디#H02,085-MA3,3.0,공용,100.0,0.0045000000000000005,2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH03,모모)미디#H03,085-MA3,3.0,지점,19.0,0.0025,2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH05,모모)미디위생#H05,085-MA2,2.0,지점,21.0,0.0045000000000000005,2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH06,모모)미디위생#H06,085-MA2,2.0,지점,12.0,0.0045000000000000005,2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH11,모모)미디#H11,085-MA3,3.0,지점,20.0,0.0025,2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH12,모모)미디#H12,085-MA3,3.0,지점,23.0,0.004,2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH13,모모)미디#H13,085-MA3,3.0,지점,25.0,0.004,2023-08-18,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH14,모모)미디#H14,085-MA3,3.0,공용,153.0,0.0045000000000000005,2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDH15,모모)미디위생#H15,085-MA2,2.0,지점,25.0,0.0025,2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI01,모모)미디#I01,085-MA3,3.0,공용,5.0,0.0045000000000000005,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI02,모모)미디#I02,085-MA3,3.0,지점,8.0,0.0025,2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI03,모모)미디#I03,085-MA3,3.0,공용,29.0,0.0045000000000000005,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI04,모모)미디위생#I04,085-MA2,2.0,지점,13.0,0.0025,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI05,모모)미디위생#I05,090-MA2,2.0,지점,1.0,0.0025,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI11,모모)미디#I11,085-MA3,3.0,공용,140.0,,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI12,모모)미디#I12,085-MA3,3.0,공용,156.0,,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,
,JWPDI13,모모)미디위생#I13,090-MA2,2.0,공용,229.0,,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRH01,모모)3매입남즈로즈,085-MA3,3.0,공용,78.0,0.0025,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRH02,모모)3매입남즈로즈,085-MA3,3.0,공용,65.0,0.0025,2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRH03,모모)3매입남즈로즈,085-MA3,3.0,공용,100.0,0.0025,2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRH04,모모)3매입남즈로즈,085-MA3,3.0,공용,52.0,0.0025,2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRH51,모모)3매입남즈로즈,085-MA3,3.0,공용,8.0,,2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRH52,모모)3매입남즈로즈,085-MA3,3.0,공용,12.0,,2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRH53,모모)3매입남즈로즈,085-MA3,3.0,공용,34.0,,2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRI01,모모)3매입남즈로즈,085-MA3,3.0,공용,34.0,0.0027,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRI02,모모)3매입남즈로즈,085-MA3,3.0,공용,91.0,,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRI03,모모)3매입남즈로즈,085-MA3,3.0,공용,4.0,,2024-03-18,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRI51,모모)3매입남즈로즈,085-MA3,3.0,공용,7.0,,2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRI52,모모)3매입남즈로즈,085-MA3,3.0,공용,70.0,,2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,
,JYDRI53,모모)3매입남즈로즈,085-MA3,3.0,공용,76.0,,2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,
